iter	Passed	Remaining
0	48	47952
1	110	54901
2	170	56664
3	250	62324
4	316	62939
5	394	65295
6	469	66531
7	542	67289
8	597	65740
9	655	64902
10	718	64610
11	787	64819
12	845	64164
13	900	63422
14	952	62544
15	1003	61686
16	1055	61028
17	1112	60714
18	1172	60544
19	1228	60206
20	1286	59968
21	1348	59963
22	1408	59838
23	1462	59463
24	1519	59260
25	1577	59090
26	1633	58864
27	1685	58523
28	1754	58735
29	1820	58856
30	1880	58790
31	1941	58738
32	1995	58473
33	2051	58278
34	2108	58133
35	2161	57885
36	2220	57783
37	2278	57675
38	2343	57737
39	2399	57597
40	2467	57717
41	2531	57740
42	2591	57683
43	2649	57568
44	2713	57583
45	2773	57520
46	2822	57239
47	2879	57111
48	2933	56932
49	2989	56803
50	3041	56590
51	3095	56438
52	3155	56375
53	3215	56325
54	3275	56274
55	3341	56330
56	3405	56338
57	3480	56527
58	3557	56742
59	3632	56903
60	3714	57183
61	3775	57120
62	3846	57215
63	3923	57378
64	4003	57582
65	4067	57567
66	4138	57636
67	4190	57432
68	4249	57341
69	4321	57411
70	4396	57525
71	4475	57686
72	4550	57779
73	4609	57680
74	4674	57648
75	4734	57562
76	4794	57470
77	4858	57430
78	4922	57386
79	4981	57285
80	5041	57201
81	5109	57205
82	5182	57252
83	5259	57348
84	5319	57262
85	5376	57144
86	5439	57084
87	5496	56961
88	5547	56782
89	5610	56727
90	5672	56658
91	5733	56589
92	5794	56514
93	5854	56430
94	5911	56314
95	5963	56160
96	6022	56066
97	6083	55990
98	6139	55879
99	6202	55820
100	6261	55733
101	6320	55641
102	6398	55726
103	6475	55791
104	6545	55794
105	6614	55783
106	6685	55795
107	6767	55898
108	6850	56001
109	6915	55956
110	6986	55956
111	7055	55943
112	7112	55832
113	7181	55815
114	7247	55771
115	7308	55693
116	7371	55629
117	7442	55626
118	7504	55560
119	7574	55543
120	7640	55505
121	7700	55421
122	7765	55370
123	7827	55299
124	7889	55229
125	7962	55234
126	8031	55205
127	8088	55103
128	8158	55086
129	8227	55062
130	8285	54963
131	8351	54918
132	8413	54848
133	8482	54817
134	8563	54871
135	8644	54914
136	8708	54859
137	8772	54794
138	8838	54750
139	8903	54694
140	8969	54641
141	9033	54584
142	9087	54461
143	9146	54371
144	9211	54315
145	9265	54199
146	9331	54150
147	9400	54117
148	9465	54059
149	9538	54050
150	9603	53998
151	9664	53918
152	9725	53838
153	9791	53789
154	9852	53710
155	9911	53626
156	9979	53585
157	10039	53503
158	10096	53403
159	10155	53313
160	10217	53244
161	10272	53140
162	10333	53062
163	10389	52958
164	10445	52861
165	10501	52758
166	10558	52665
167	10636	52675
168	10707	52652
169	10777	52619
170	10845	52577
171	10913	52535
172	10974	52460
173	11037	52394
174	11107	52365
175	11165	52274
176	11222	52181
177	11278	52082
178	11345	52036
179	11412	51989
180	11476	51927
181	11541	51871
182	11600	51791
183	11653	51680
184	11713	51601
185	11770	51511
186	11822	51397
187	11877	51301
188	11936	51220
189	12000	51158
190	12059	51078
191	12119	51003
192	12186	50957
193	12244	50872
194	12308	50813
195	12370	50742
196	12420	50629
197	12477	50541
198	12527	50424
199	12580	50321
200	12639	50244
201	12694	50149
202	12753	50072
203	12812	49994
204	12872	49918
205	12930	49840
206	12985	49747
207	13042	49661
208	13095	49561
209	13149	49468
210	13206	49384
211	13226	49161
212	13285	49087
213	13352	49040
214	13408	48956
215	13465	48874
216	13535	48841
217	13600	48788
218	13667	48740
219	13726	48667
220	13781	48579
221	13841	48509
222	13896	48417
223	13953	48339
224	14004	48238
225	14059	48149
226	14115	48068
227	14175	47999
228	14231	47913
229	14287	47832
230	14343	47750
231	14399	47668
232	14463	47611
233	14520	47533
234	14575	47449
235	14640	47394
