iter	Logloss
0	0.6711405407
1	0.6511769089
2	0.633659502
3	0.6183588405
4	0.6046310716
5	0.592780237
6	0.5826888001
7	0.5729478246
8	0.5646745184
9	0.557054796
10	0.5497659821
11	0.5437663059
12	0.5382773734
13	0.5336079461
14	0.529021388
15	0.5245959699
16	0.5211736407
17	0.5177811066
18	0.5147813407
19	0.5120100102
20	0.5095671558
21	0.5073164305
22	0.5053777378
23	0.5033208051
24	0.5016382123
25	0.4999964714
26	0.4985399495
27	0.4971069511
28	0.4958567886
29	0.4947725816
30	0.4937264432
31	0.492782619
32	0.4919452348
33	0.4911836973
34	0.490496939
35	0.4897489401
36	0.489194833
37	0.4886624681
38	0.4881035186
39	0.4876102735
40	0.4871807269
41	0.4868005261
42	0.4864417035
43	0.4860550149
44	0.4857372644
45	0.4854445285
46	0.4851359181
47	0.4848709041
48	0.4846279018
49	0.4844409556
50	0.4843118964
51	0.4840947146
52	0.4839498684
53	0.4837879936
54	0.4836252683
55	0.4834789335
56	0.4833325603
57	0.4832323572
58	0.483137749
59	0.4830437503
60	0.482948619
61	0.4828709255
62	0.4827998396
63	0.4827171679
64	0.4826228973
65	0.4825681597
66	0.4825032902
67	0.4824408001
68	0.4823951599
69	0.4823552699
70	0.4822886151
71	0.4822404983
72	0.4821805014
73	0.4821363138
74	0.4820765639
75	0.4820365889
76	0.4819845932
77	0.481958764
78	0.4819289519
79	0.4818919072
80	0.4818600258
81	0.4818413897
82	0.4818115078
83	0.4817881616
84	0.4817633345
85	0.4817248017
86	0.4816911043
87	0.4816497924
88	0.4816232826
89	0.4815904793
90	0.4815749562
91	0.4815661389
92	0.4815589703
93	0.4815319882
94	0.4815081942
95	0.4815047427
96	0.4814996419
97	0.4814779937
98	0.4814729646
99	0.4814623244
100	0.4814549153
101	0.4814436138
102	0.4814288177
103	0.4814054062
104	0.4813935473
105	0.4813866415
106	0.4813710719
107	0.4813625292
108	0.4813445675
109	0.4813254524
110	0.4813170653
111	0.4812963257
112	0.4812897209
113	0.481284157
114	0.4812649822
115	0.4812635318
116	0.4812576214
117	0.4812555443
118	0.4812528387
119	0.4812489846
120	0.481238462
121	0.4812289232
122	0.4812219618
123	0.4812102093
124	0.481206895
125	0.4811928625
126	0.4811908748
127	0.481168916
128	0.4811583719
129	0.481151606
130	0.4811505581
131	0.4811449294
132	0.4811305914
133	0.4811163555
134	0.4811043298
135	0.4810933738
136	0.4810912067
137	0.4810800494
138	0.4810768144
139	0.4810750772
140	0.4810740539
141	0.4810640574
142	0.4810531715
143	0.4810424778
144	0.4810290918
145	0.4810162793
146	0.4810044875
147	0.4810001704
148	0.4809970408
149	0.4809970408
150	0.480996379
151	0.4809943019
152	0.4809916985
153	0.4809824192
154	0.4809824192
155	0.4809688935
156	0.480966807
157	0.4809554653
158	0.4809399233
159	0.4809399233
160	0.4809340924
161	0.480928985
162	0.4809214114
163	0.4809136707
164	0.4809052625
165	0.4808964235
166	0.4808934514
167	0.4808916658
168	0.4808916658
169	0.4808878585
170	0.4808784115
171	0.4808696068
172	0.4808551284
173	0.4808545652
174	0.480854304
175	0.480846892
176	0.4808323449
177	0.4808264467
178	0.4808244518
179	0.4808155919
180	0.4808123148
181	0.4808114707
182	0.480804301
183	0.4807947461
184	0.4807900934
185	0.4807853949
186	0.4807759202
187	0.4807602764
188	0.4807549274
189	0.4807478349
190	0.480732126
191	0.4807301084
192	0.480721136
193	0.4807174161
194	0.4807075938
195	0.4806957725
196	0.4806919911
197	0.4806833617
198	0.4806804954
199	0.480678481
