iter	Passed	Remaining
0	231	46141
1	299	29632
2	363	23871
3	426	20919
4	491	19160
5	556	17988
6	620	17111
7	680	16329
8	745	15826
9	809	15376
10	874	15023
11	940	14738
12	1004	14452
13	1069	14205
14	1131	13960
15	1196	13764
16	1258	13547
17	1321	13364
18	1388	13231
19	1450	13058
20	1513	12899
21	1578	12774
22	1647	12681
23	1725	12652
24	1797	12585
25	1872	12531
26	1939	12427
27	2002	12299
28	2063	12168
29	2121	12019
30	2182	11896
31	2236	11743
32	2292	11599
33	2345	11450
34	2399	11312
35	2459	11203
36	2515	11080
37	2571	10962
38	2636	10884
39	2697	10788
40	2752	10674
41	2810	10571
42	2868	10471
43	2924	10368
44	2983	10274
45	3270	10947
46	3334	10853
47	3590	11371
48	3658	11274
49	3728	11185
50	3793	11082
51	3845	10946
52	3900	10818
53	3955	10693
54	4016	10590
55	4068	10461
56	4141	10389
57	4192	10264
58	4243	10141
59	4297	10028
60	4353	9919
61	4413	9822
62	4466	9713
63	4527	9621
64	4586	9526
65	4639	9419
66	4695	9320
67	4755	9230
68	4814	9140
69	4870	9045
70	4935	8966
71	5002	8894
72	5074	8828
73	5146	8763
74	5212	8686
75	5270	8599
76	5330	8515
77	5388	8427
78	5442	8336
79	5496	8244
80	5551	8156
81	5603	8062
82	5664	7984
83	5721	7901
84	5776	7815
85	5839	7740
86	5898	7661
87	5955	7579
88	6019	7507
89	6076	7426
90	6132	7345
91	6179	7254
92	6236	7175
93	6294	7098
94	6351	7020
95	6379	6911
96	6417	6814
97	6474	6738
98	6503	6635
99	6555	6555
100	6603	6472
101	6657	6396
102	6713	6322
103	6785	6263
104	6840	6189
105	6893	6113
106	6949	6039
107	7010	5971
108	7069	5902
109	7124	5829
110	7178	5755
111	7238	5687
112	7291	5614
113	7347	5542
114	7409	5476
115	7439	5387
116	7493	5315
117	7549	5245
118	7582	5161
119	7621	5080
120	7656	4998
121	7714	4932
122	7766	4861
123	7821	4793
124	7876	4726
125	7936	4661
126	7992	4594
127	8047	4526
128	8108	4462
129	8164	4396
130	8199	4318
131	8253	4251
132	8321	4191
133	8391	4133
134	8453	4070
135	8496	3998
136	8546	3929
137	8600	3864
138	8658	3799
139	8703	3730
140	8733	3654
141	8787	3589
142	8842	3524
143	8897	3460
144	8951	3395
145	9027	3338
146	9089	3277
147	9142	3212
148	9201	3149
149	9223	3074
150	9277	3010
151	9344	2950
152	9395	2886
153	9468	2828
154	9489	2754
155	9543	2691
156	9599	2629
157	9656	2567
158	9720	2506
159	9750	2437
160	9812	2376
161	9865	2314
162	9929	2253
163	9975	2189
164	10031	2127
165	10084	2065
166	10145	2004
167	10203	1943
168	10225	1875
169	10278	1813
170	10336	1752
171	10398	1692
172	10455	1631
173	10488	1567
174	10519	1502
175	10581	1442
176	10637	1382
177	10694	1321
178	10729	1258
179	10783	1198
180	10842	1138
181	10883	1076
182	10936	1015
183	10990	955
184	11050	895
185	11103	835
186	11160	775
187	11232	716
188	11287	656
189	11343	597
190	11399	537
191	11458	477
192	11515	417
193	11577	358
194	11642	298
195	11705	238
196	11774	179
197	11841	119
198	11896	59
199	11954	0
